,Count_2020,Count_2021,Count_2022,Count_2023,Avg_Interval_2020,Avg_Interval_2021,Avg_Interval_2022,Avg_Interval_2023,Std_Interval_2020,Std_Interval_2021,Std_Interval_2022,Std_Interval_2023,Overall_Avg_Interval,Overall_Std_Interval
10성 이하에서 스타포스 강화 성공 시 1+1 강화,4,6,4,4,65.33333333333333,51.8,72.33333333333333,54.666666666666664,16.49915822768611,5.6,11.897712198383164,17.249798710580816,69.17647058823529,29.718750852771976
룬 경험치 버프 효과 +100%,9,11,11,7,38.5,31.5,32.9,32.666666666666664,9.260129588726068,8.99166280506559,11.734138229968147,13.199326582148888,35.0,12.17884741362352
"몬스터 컬렉션 '의문의 모몽' 지급, 신규 몬스터 등록 확률 추가",3,5,4,2,108.5,68.25,81.66666666666667,84.0,66.5,47.314770421085214,47.59084879353266,0.0,88.3076923076923,46.9605146993557
몬스터 파크 클리어 경험치 추가 50%,6,6,7,8,56.0,56.0,50.166666666666664,31.0,22.135943621178654,27.6477847213841,33.67202927587756,14.422205101855956,47.65384615384615,27.38885554900065
미라클 타임,1,1,2,2,,,189.0,182.0,,,0.0,0.0,256.2,88.16666036546921
소울 조각 사용 시 위대한 소울 획득 확률 5배,6,5,5,5,64.4,56.0,66.5,53.0,8.16333265278342,4.949747468305833,31.5,19.144189719076646,64.05,22.096323223559164
"스타포스 5, 10, 15성에서 강화 시도 시 성공확률 100%",3,7,7,5,101.5,56.0,52.5,52.75,10.5,11.430952132988164,24.5,25.17315037892556,61.333333333333336,28.96522271594208
스타포스 강화 비용 30% 할인,6,6,6,6,65.8,53.2,57.4,42.2,22.400000000000002,9.495261976375375,16.8,27.176460402340844,56.608695652173914,21.806937728192956
어빌리티 재설정 비용 50% 할인,7,7,7,6,50.166666666666664,52.5,56.0,41.6,18.261221816248284,31.5,15.121728296285006,24.029981273400946,49.26923076923077,22.758865884119995
"폴로와 프리토, 에스페시아의 현상금 사냥 경험치, 불꽃늑대 퇴장 시 획득하는 경험치 추가",8,9,10,7,44.0,30.625,37.333333333333336,36.166666666666664,11.045361017187261,6.9450971915445505,22.622506001276204,16.3749469888879,38.60606060606061,17.414621849989885
경험치 쿠폰 지급,3,0,0,2,77.0,,,126.0,63.0,,,0.0,311.5,381.01804419213533
선택 아케인심볼 교환권 지급,4,6,2,0,74.66666666666667,64.4,77.0,,31.47838764754143,32.952086428631496,0.0,,77.0,34.68035860148036
주문의 흔적 할인,7,9,7,8,47.833333333333336,39.375,56.0,29.857142857142858,16.866304343934456,16.393119745795794,20.607442021431645,15.959131478593076,42.0,19.75348070594142
