event_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
10성 이하에서 스타포스 강화 성공 시 1+1 강화,2018.02.18,2018.05.27,2018.07.15,2018.12.02,2019.02.03,2019.05.12,2019.06.30,2019.09.01,2019.12.29,2020.04.05,2020.06.21,2020.08.02,2020.10.18,2021.02.21,2021.04.25,2021.06.13,2021.08.01,2021.09.19,2021.11.07,2022.04.10,2022.06.26,2022.08.21,2022.11.13,2023.01.12,2023.03.05,2023.05.21,2023.06.25,,,,,,,,,,,,,,,,,,,,,
룬 경험치 버프 효과 +100%,2017.03.26,2017.07.02,2017.08.27,2017.11.19,2018.02.11,2018.04.22,2018.07.08,2018.09.16,2019.07.21,2019.09.08,2019.11.24,2020.01.26,2020.03.08,2020.03.29,2020.05.03,2020.06.28,2020.08.09,2020.09.13,2020.10.25,2020.11.29,2021.02.07,2021.02.28,2021.03.28,2021.04.25,2021.05.23,2021.06.20,2021.07.18,2021.08.15,2021.09.12,2021.10.31,2021.12.19,2022.01.30,2022.03.20,2022.04.24,2022.06.05,2022.07.10,2022.08.21,2022.09.25,2022.10.09,2022.11.20,2022.12.11,2022.12.25,2023.01.29,2023.02.26,2023.04.09,2023.04.23,2023.05.21,2023.06.18
몬스터 컬렉션 '의문의 모몽' 지급,2018.10.21,2019.04.07,2019.10.20,2019.12.01,2020.04.12,2020.10.04,2020.11.15,2021.03.14,2021.08.08,2021.09.26,2021.10.17,2021.12.12,2022.03.27,2022.05.29,2022.10.23,2022.11.27,2023.03.12,2023.06.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
몬스터 컬렉션 신규 몬스터 등록 확률 추가 100%,2017.12.10,2018.04.15,2018.10.21,2019.04.07,2019.10.20,2019.12.01,2020.04.12,2020.10.04,2020.11.15,2021.01.10,2021.03.14,2021.08.08,2021.09.26,2021.10.17,2021.12.12,2022.03.27,2022.05.29,2022.09.25,2022.10.23,2022.11.27,2023.03.12,2023.06.04,,,,,,,,,,,,,,,,,,,,,,,,,,
몬스터 파크 클리어 경험치 추가 50%,2018.10.07,2018.12.23,2019.10.06,2020.03.22,2020.05.31,2020.07.26,2020.09.27,2020.12.13,2020.12.27,2021.01.24,2021.05.02,2021.07.11,2021.08.29,2021.09.12,2021.10.31,2022.01.30,2022.04.24,2022.08.07,2022.09.25,2022.10.09,2022.11.06,2022.11.27,2023.01.08,2023.02.19,2023.04.16,2023.04.30,2023.06.04,2023.07.09,2023.07.30,,,,,,,,,,,,,,,,,,,
미라클 타임,2019.01.13,2020.01.12,2021.01.17,2022.01.09,2022.07.17,2023.01.15,2023.07.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
불꽃늑대 퇴장 시 획득하는 경험치 추가,2017.09.10,2017.12.03,2018.03.25,2018.07.01,2018.12.09,2019.03.31,2019.06.23,2019.08.11,2019.09.22,2019.12.08,2020.02.16,2020.03.29,2020.05.10,2020.07.05,2020.09.06,2020.10.11,2020.11.22,2020.12.20,2021.03.07,2021.04.04,2021.05.02,2021.05.30,2021.06.27,2021.07.25,2021.08.22,2021.09.19,2021.11.07,2022.01.02,2022.02.13,2022.03.13,2022.04.17,2022.05.08,2022.08.07,2022.09.25,2022.10.02,2022.11.13,2022.12.04,2023.01.08,2023.02.19,2023.04.16,2023.04.30,2023.05.28,2023.06.18,,,,,
소울 조각 사용 시 위대한 소울 획득 확률 5배,2017.04.23,2017.05.07,2017.09.17,2017.11.26,2018.03.11,2018.07.15,2018.09.09,2018.11.11,2018.12.30,2019.03.17,2019.05.12,2019.07.28,2019.09.15,2019.11.17,2019.12.15,2020.02.09,2020.04.19,2020.06.21,2020.08.30,2020.11.08,2020.12.27,2021.04.18,2021.06.13,2021.08.08,2021.10.10,2021.11.28,2022.02.27,2022.05.22,2022.09.04,2022.09.25,2022.11.20,2023.01.13,2023.03.19,2023.05.14,2023.07.23,,,,,,,,,,,,,
"스타포스 5, 10, 15성에서 강화 시도 시 성공확률 100%",2017.03.26,2017.06.11,2017.07.23,2017.09.10,2017.12.03,2018.01.07,2018.05.13,2018.06.10,2018.08.12,2018.09.23,2019.01.06,2019.02.17,2019.05.26,2019.07.14,2019.08.18,2019.11.03,2020.02.02,2020.05.24,2020.08.23,2021.01.03,2021.03.21,2021.05.16,2021.06.27,2021.08.15,2021.10.03,2021.12.05,2022.02.06,,2022.02.27,2022.05.15,2022.07.10,2022.07.31,,2022.09.25,2022.12.18,2023.01.14,2023.02.05,2023.05.07,2023.07.02,,,,,,,,,
스타포스 강화 비용 30% 할인,2017.04.23,2017.05.14,2017.07.09,2017.08.13,2017.10.01,2017.12.24,2018.04.29,2018.07.29,2018.08.26,2018.09.09,2019.01.20,2019.03.03,2019.03.24,2019.04.21,2019.04.28,2019.06.09,2019.08.04,2019.09.29,2019.12.15,2020.01.19,2020.04.26,2020.07.19,2020.09.20,2020.11.01,2020.12.13,2021.01.31,2021.04.11,2021.06.06,2021.07.18,2021.09.05,2021.10.24,2022.01.02,2022.02.06,,2022.04.24,2022.06.12,2022.07.31,,2022.10.16,2023.01.14,2023.01.18,2023.04.02,2023.06.11,2023.07.02,,,
어빌리티 재설정 비용 50% 할인,2017.04.09,2017.05.21,2017.07.16,2017.10.15,2018.04.29,2018.09.09,2018.11.18,2018.12.30,2019.03.17,2019.04.28,2019.06.16,2019.07.28,2019.09.15,2019.12.15,2020.02.09,2020.03.15,2020.06.07,2020.07.12,2020.08.16,2020.10.18,2020.12.06,2021.01.10,2021.05.09,2021.07.04,2021.07.25,2021.09.05,2021.10.10,2021.11.21,2022.01.16,2022.04.03,2022.06.12,2022.07.24,2022.09.25,2022.10.30,2022.12.18,2023.01.17,2023.01.22,2023.04.09,2023.05.14,2023.07.09,,,,,,,,
테라 버닝 부스터 지급,2023.07.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"폴로와 프리토, 에스페시아의 현상금 사냥 경험치 2배",2017.04.02,2017.06.25,2017.07.30,2017.09.10,2017.11.26,2018.03.25,2018.07.01,2018.12.09,2019.03.31,2019.06.23,2019.08.11,2019.09.22,2019.12.08,2020.02.16,2020.03.29,2020.05.10,2020.07.05,2020.09.06,2020.10.11,2020.11.22,2020.12.20,2021.03.07,2021.04.04,2021.05.02,2021.05.30,2021.06.27,2021.07.25,2021.08.22,2021.09.19,2021.11.07,2022.01.02,2022.02.13,2022.03.13,2022.04.17,2022.05.08,2022.08.07,2022.09.25,2022.10.02,2022.11.13,2022.12.04,2023.01.08,2023.02.19,2023.04.16,2023.04.30,2023.05.28,2023.06.18
경험치 쿠폰 지급,2017.04.16,2017.12.10,2018.01.14,2018.02.11,2018.03.11,2018.04.22,2018.06.17,2018.06.24,2019.06.16,2019.09.15,2019.12.22,2020.03.01,2020.07.19,2020.08.02,2023.03.26,2023.07.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선택 아케인심볼 교환권 지급,2017.10.01,2018.01.14,2018.06.24,2018.10.21,2019.04.14,2019.06.30,2019.10.13,2020.01.05,2020.02.23,2020.06.21,2020.08.16,2021.01.03,2021.02.14,2021.06.13,2021.07.11,2021.08.29,2021.11.21,2022.02.13,2022.05.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
익스트림 성장의 비약 지급,2020.02.23,2020.06.21,2020.07.26,2020.12.13,2021.11.14,2022.05.01,2022.10.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
