,events,total_event_count,most_recent_event_date,avg_interval,std_interval,event_count_2017,event_count_2018,event_count_2019,event_count_2020,event_count_2021,event_count_2022,event_count_2023
0,경험치 2배,4,2022-05-01,487.6666666666667,301.58728237259754,0,1,2,0,0,1,0
1,경험치 3배 쿠폰(15분) 2장 지급,4,2023-03-26,644.0,816.7133320000762,1,2,0,0,0,0,1
2,경험치 3배 쿠폰(30분) 4장 지급,1,2023-07-30,,,0,0,0,0,0,0,1
3,레이디 블레어의 코디 타임,1,2022-08-14,175.0,0.0,0,0,0,0,0,1,0
4,룬 경험치 버프 효과 +100%,47,2023-06-18,49.45652173913044,45.280625726270294,3,4,3,9,11,11,6
5,몬스터 컬렉션 '의문의 모몽' 3개 지급,17,2023-06-04,105.4375,80.66982765414836,0,1,2,3,5,4,2
6,몬스터 컬렉션 신규 몬스터 등록 확률 추가 100%,22,2023-06-04,95.33333333333333,54.841184848210155,1,2,3,3,6,5,2
7,몬스터 파크 클리어 경험치 추가 50%,29,2023-07-30,62.75,54.974425872399976,0,2,1,6,6,7,7
8,미라클 타임,7,2023-07-16,274.1666666666667,89.9544637889391,0,0,1,1,1,2,2
9,불꽃늑대 퇴장 시 획득하는 경험치 2배,42,2023-06-18,49.34146341463415,30.802763382605125,1,3,5,8,9,10,6
10,소울 조각 사용 시 위대한 소울 획득 확률 5배,35,2023-07-23,67.11764705882354,25.83063013724592,4,5,6,6,5,5,4
11,솜사탕 핑크빈 교환권 1개 지급,1,2022-09-18,,,0,0,0,0,0,1,0
12,"스타포스 5, 10, 15성에서 강화 시도 시 성공확률 100%",37,2023-07-02,63.583333333333336,29.01472327399775,5,5,6,3,7,7,4
13,스타포스 강화 비용 30% 할인,42,2023-07-02,55.146341463414636,28.586676903257004,6,4,9,6,6,6,5
14,어빌리티 재설정 비용 50% 할인,40,2023-07-09,58.51282051282051,33.38038099894084,4,4,6,7,7,7,5
15,역대 마스터 라벨 풀 패키지 교환권 중 1개 지급,1,2022-09-18,,,0,0,0,0,0,1,0
16,익스트림 레벨업 타임,3,2022-09-11,129.5,45.5,0,0,0,0,1,2,0
17,익스트림 성장의 비약 5개 지급,2,2022-10-02,154.0,0.0,0,0,0,0,0,2,0
18,주문의 흔적 강화 비용 50% 할인,40,2023-07-23,50.07692307692308,23.188618578047837,0,5,5,7,9,7,7
19,콤보킬 경험치 획득량 +300%,45,2023-06-18,46.13636363636363,36.717961240868895,1,4,3,9,11,11,6
20,테라 버닝 부스터 지급,1,2023-07-09,,,0,0,0,0,0,0,1
21,폴로와 프리토의 현상금 사냥 경험치 2배,31,2022-05-08,54.13333333333333,32.629979398638234,1,3,5,8,9,5,0
22,폴로와 프리토 에스페시아의 현상금 사냥 경험치 2배,11,2023-06-18,36.90909090909091,22.354395725773106,0,0,0,0,0,5,6
